TTO,IBI,TIME
104.921875,0.6875,1638066219
105.59375,0.671875,
106.15625,0.5625,
126.203125,0.75,
126.953125,0.75,
127.734375,0.78125,
128.328125,0.59375,
129.140625,0.8125,
226.765625,0.5625,
230.6875,0.546875,
231.140625,0.453125,
261.640625,0.703125,
262.328125,0.6875,
263.03125,0.703125,
263.765625,0.734375,
264.5,0.734375,
265.203125,0.703125,
265.90625,0.703125,
266.59375,0.6875,
267.28125,0.6875,
267.96875,0.6875,
268.671875,0.703125,
269.375,0.703125,
270.046875,0.671875,
270.71875,0.671875,
271.375,0.65625,
272.046875,0.671875,
272.75,0.703125,
273.484375,0.734375,
274.234375,0.75,
274.96875,0.734375,
275.703125,0.734375,
276.4375,0.734375,
277.1875,0.75,
313.1875,0.75,
313.9375,0.75,
314.703125,0.765625,
379.5625,0.578125,
404.09375,0.640625,
404.8125,0.71875,
407.53125,0.546875,
415.109375,0.4375,
427.28125,0.59375,
433.875,0.53125,
434.34375,0.46875,
434.953125,0.609375,
435.46875,0.515625,
436.0625,0.59375,
436.5,0.4375,
437.125,0.625,
437.65625,0.53125,
438.21875,0.5625,
438.734375,0.515625,
439.34375,0.609375,
439.859375,0.515625,
440.4375,0.578125,
444.9375,0.59375,
445.453125,0.515625,
446.0625,0.609375,
446.59375,0.53125,
447.171875,0.578125,
447.75,0.578125,
448.34375,0.59375,
448.921875,0.578125,
449.4375,0.515625,
463.265625,0.546875,
463.875,0.609375,
464.40625,0.53125,
465.015625,0.609375,
491.625,0.53125,
492.203125,0.578125,
492.734375,0.53125,
493.296875,0.5625,
493.875,0.578125,
494.421875,0.546875,
495.015625,0.59375,
495.578125,0.5625,
496.15625,0.578125,
496.75,0.59375,
497.3125,0.5625,
497.890625,0.578125,
498.484375,0.59375,
499.0625,0.578125,
499.65625,0.59375,
500.25,0.59375,
500.828125,0.578125,
501.421875,0.59375,
502.015625,0.59375,
502.640625,0.625,
503.21875,0.578125,
503.875,0.65625,
504.515625,0.640625,
505.125,0.609375,
505.703125,0.578125,
